id,regija,upravna_enota,obcina,kraj,povrsina,vrsta_hise,leto,adaptirana,zemljisce,cena
5678258,J. Primorska,Sežana,Sežana,"ŠTORJE, SEŽANA OKOLICA",280.0,vrstna,2013,,134.0,156000.0
6260882,Dolenjska,Črnomelj,Semič,ŠTREKLJEVEC,46.2,samostojna,2015,,629.0,47000.0
6371529,Podravska,Pesnica,Šentilj,ŠTRIHOVEC,81.6,samostojna,1978,,11091.0,100000.0
6327340,LJ-okolica,"Lj. J&Z del (Vič, Rudnik)",Dobrova - Polhov Gradec,ŠUJICA,180.0,dvojček,2009,,156.0,379000.0
6367067,Pomurska,Murska Sobota,Gornji Petrovci,"ŠULINCI, OBROBJE VASI",85.0,samostojna,1837,2019,1500.0,120000.0
6353174,Podravska,Maribor,Maribor,TABOR,77.9,vrstna,1928,1998,170.0,105000.0
6342123,Podravska,Maribor,Maribor,TABOR,108.9,vrstna,1927,1998,157.0,109700.0
6125617,Podravska,Maribor,Maribor,TABOR,150.0,dvostanovanjska,1929,1999,229.0,193000.0
6328791,Podravska,Maribor,Maribor,TABOR,175.6,samostojna,1960,1996,535.0,178000.0
6226064,Podravska,Maribor,Maribor,TABOR,184.11,samostojna,1980,,566.0,180000.0
6357253,Podravska,Maribor,Maribor,TABOR,187.8,samostojna,1958,,,298000.0
6365571,Podravska,Maribor,Maribor,TABOR,190.0,samostojna,1931,2005,681.0,195000.0
6360074,Podravska,Maribor,Maribor,TABOR,195.0,samostojna,1950,2019,770.0,245000.0
6273653,Podravska,Maribor,Maribor,TABOR,225.0,samostojna,1935,1995,300.0,209000.0
6359412,Podravska,Maribor,Maribor,TABOR,272.8,dvostanovanjska,1967,,405.0,220000.0
6355730,Podravska,Maribor,Maribor,TABOR,363.4,samostojna,1971,2012,527.0,275000.0
6368111,Podravska,Maribor,Maribor,TABOR,570.0,samostojna,1900,2003,539.0,295000.0
6178537,Podravska,Maribor,Maribor,TABOR,675.0,hiša,1880,2017,9478.0,1390000.0
6354460,Podravska,Maribor,Maribor,"TABOR, BETNAVSKA CESTA 45",200.0,samostojna,2014,,350.0,360000.0
